concept_code,target_concept_code,n_code_target
30160-Symptom_Inflamm-1,31346-past12mo_tech-1,402
30153-Symptoms-1,31344-devices_own-1,401
31344-devices_own-1,30153-Symptoms-1,401
bin_32136-vaccine_didyou,bin_30107-alcohol_consume,399
bin_30171-COVID_vaccine,30154-Symptoms_Resp-1,396
30086-Gender-2,30166-Prev_exposure-1,396
bin_30107-alcohol_consume,31386-covid_results-2,395
bin_32136-vaccine_didyou,30154-Symptoms_Resp-1,392
31356-past12_recommended-1,31386-covid_results-2,391
bin_30107-alcohol_consume,31344-devices_own-3,390
31344-devices_own-3,bin_30107-alcohol_consume,390
bin_30171-COVID_vaccine,31393-join_why-2,389
bin_32136-vaccine_didyou,31393-join_why-2,389
30086-Gender-2,30156-Symptom_GI-1,387
31405-skipped_why-4,bin_30107-alcohol_consume,386
bin_30107-alcohol_consume,31405-skipped_why-4,386
30086-Gender-2,30153-Symptoms-1,384
bin_30171-COVID_vaccine,bin_30107-alcohol_consume,383
31393-join_why-2,31344-devices_own-1,381
31344-devices_own-1,31393-join_why-2,381
31356-past12_recommended-1,31405-skipped_why-4,378
31405-skipped_why-4,31356-past12_recommended-1,378
31393-join_why-2,30166-Prev_exposure-1,376
31356-past12_recommended-1,31344-devices_own-3,376
31344-devices_own-1,30158-Symtpom_Neuro-1,376
31344-devices_own-3,31356-past12_recommended-1,376
30166-Prev_exposure-1,31393-join_why-2,376
30158-Symtpom_Neuro-1,31344-devices_own-1,376
31393-join_why-2,30156-Symptom_GI-1,375
30156-Symptom_GI-1,31393-join_why-2,375
30153-Symptoms-1,31393-join_why-2,374
30160-Symptom_Inflamm-1,31356-past12_recommended-1,374
31393-join_why-2,30153-Symptoms-1,374
31356-past12_recommended-1,30160-Symptom_Inflamm-1,374
bin_30171-COVID_vaccine,31346-past12mo_tech-1,370
bin_32136-vaccine_didyou,31346-past12mo_tech-1,367
31344-devices_own-1,31346-past12mo_tech-1,364
31346-past12mo_tech-1,31344-devices_own-1,364
30086-Gender-2,31344-devices_own-1,363
30156-Symptom_GI-1,bin_30107-alcohol_consume,359
bin_30107-alcohol_consume,30156-Symptom_GI-1,359
30086-Gender-2,30158-Symtpom_Neuro-1,356
30166-Prev_exposure-1,31346-past12mo_tech-1,352
31346-past12mo_tech-1,30166-Prev_exposure-1,352
30166-Prev_exposure-1,bin_30107-alcohol_consume,351
bin_30107-alcohol_consume,30166-Prev_exposure-1,351
30156-Symptom_GI-1,31346-past12mo_tech-1,349
31393-join_why-3,31386-covid_results-2,349
31386-covid_results-2,31393-join_why-3,349
31346-past12mo_tech-1,30156-Symptom_GI-1,349
30153-Symptoms-1,bin_30107-alcohol_consume,348
bin_30107-alcohol_consume,30153-Symptoms-1,348
30082-Race-1,bin_32136-vaccine_didyou,348
31393-join_why-5,31386-covid_results-2,346
bin_30171-COVID_vaccine,31356-past12_recommended-1,346
31393-join_why-2,30158-Symtpom_Neuro-1,346
30158-Symtpom_Neuro-1,31393-join_why-2,346
bin_32136-vaccine_didyou,31356-past12_recommended-1,345
31344-devices_own-1,bin_30107-alcohol_consume,344
31405-skipped_why-4,31393-join_why-5,344
bin_30107-alcohol_consume,31344-devices_own-1,344
31393-join_why-5,31405-skipped_why-4,344
31344-devices_own-1,30154-Symptoms_Resp-1,343
30154-Symptoms_Resp-1,31344-devices_own-1,343
31393-join_why-5,31344-devices_own-3,343
31344-devices_own-3,31393-join_why-5,343
30082-Race-1,30160-Symptom_Inflamm-1,342
30082-Race-1,31386-covid_results-2,342
31405-skipped_why-4,31393-join_why-3,341
31356-past12_recommended-1,31344-devices_own-1,337
30153-Symptoms-1,31346-past12mo_tech-1,337
31344-devices_own-3,31393-join_why-3,337
31344-devices_own-1,31356-past12_recommended-1,337
31346-past12mo_tech-1,30153-Symptoms-1,337
30082-Race-1,bin_30171-COVID_vaccine,336
30086-Gender-2,30154-Symptoms_Resp-1,335
30086-Gender-2,bin_30107-alcohol_consume,334
30082-Race-1,31344-devices_own-3,334
30082-Race-1,31405-skipped_why-4,333
30160-Symptom_Inflamm-1,31393-join_why-3,331
30166-Prev_exposure-1,31356-past12_recommended-1,329
30156-Symptom_GI-1,31356-past12_recommended-1,329
31393-join_why-1,31386-covid_results-2,329
31356-past12_recommended-1,30156-Symptom_GI-1,329
31356-past12_recommended-1,30166-Prev_exposure-1,329
30158-Symtpom_Neuro-1,bin_30107-alcohol_consume,327
bin_30107-alcohol_consume,30158-Symtpom_Neuro-1,327
30160-Symptom_Inflamm-1,31393-join_why-5,323
31393-join_why-5,30160-Symptom_Inflamm-1,323
31393-join_why-1,31405-skipped_why-4,322
31405-skipped_why-4,31393-join_why-1,322
30086-Gender-2,31393-join_why-2,320
31393-join_why-2,30154-Symptoms_Resp-1,319
30154-Symptoms_Resp-1,31393-join_why-2,319
31346-past12mo_tech-1,31393-join_why-2,317
31393-join_why-2,31346-past12mo_tech-1,317
30158-Symtpom_Neuro-1,31346-past12mo_tech-1,316
31356-past12_recommended-1,31346-past12mo_tech-1,316
30086-Gender-2,31346-past12mo_tech-1,316
30160-Symptom_Inflamm-1,31393-join_why-1,316
31393-join_why-1,31344-devices_own-3,316
31346-past12mo_tech-1,31356-past12_recommended-1,316
31344-devices_own-3,31393-join_why-1,316
31393-join_why-1,30160-Symptom_Inflamm-1,316
31346-past12mo_tech-1,30158-Symtpom_Neuro-1,316
31356-past12_recommended-1,30153-Symptoms-1,313
30153-Symptoms-1,31356-past12_recommended-1,313
bin_32136-vaccine_didyou,31393-join_why-5,312
31393-join_why-5,31344-devices_own-1,312
31344-devices_own-1,31393-join_why-5,312
bin_30171-COVID_vaccine,31393-join_why-5,312
bin_30171-COVID_vaccine,31393-join_why-3,306
30082-Race-1,31344-devices_own-1,305
30103-conditionsrisks-20,30160-Symptom_Inflamm-1,303
bin_32136-vaccine_didyou,31393-join_why-3,303
30160-Symptom_Inflamm-1,30103-conditionsrisks-20,303
30154-Symptoms_Resp-1,bin_30107-alcohol_consume,302
bin_30107-alcohol_consume,30154-Symptoms_Resp-1,302
31344-devices_own-1,31393-join_why-3,300
31396-join_hear-2,31386-covid_results-2,297
31393-join_why-2,31356-past12_recommended-1,296
bin_30107-alcohol_consume,31346-past12mo_tech-1,296
31346-past12mo_tech-1,bin_30107-alcohol_consume,296
31356-past12_recommended-1,31393-join_why-2,296
31356-past12_recommended-1,30158-Symtpom_Neuro-1,295
30158-Symtpom_Neuro-1,31356-past12_recommended-1,295
bin_30107-alcohol_consume,31393-join_why-2,295
31393-join_why-2,bin_30107-alcohol_consume,295
30082-Race-1,30166-Prev_exposure-1,292
30082-Race-2,30160-Symptom_Inflamm-1,291
bin_30170-Flu_shot,30160-Symptom_Inflamm-1,290
30103-conditionsrisks-20,31386-covid_results-2,289
31344-devices_own-2,31386-covid_results-2,288
30154-Symptoms_Resp-1,31346-past12mo_tech-1,288
30086-Gender-2,31356-past12_recommended-1,288
30166-Prev_exposure-1,31393-join_why-5,288
31344-devices_own-3,31344-devices_own-2,288
31346-past12mo_tech-1,30154-Symptoms_Resp-1,288
31393-join_why-5,30166-Prev_exposure-1,288
30082-Race-1,30156-Symptom_GI-1,288
31344-devices_own-2,31344-devices_own-3,288
30156-Symptom_GI-1,31393-join_why-5,286
30082-Race-1,bin_30107-alcohol_consume,286
31393-join_why-5,30156-Symptom_GI-1,286
31396-join_hear-2,30160-Symptom_Inflamm-1,286
30160-Symptom_Inflamm-1,31396-join_hear-2,286
30166-Prev_exposure-1,31393-join_why-3,285
31393-join_why-2,31393-join_why-5,284
31393-join_why-5,31393-join_why-2,284
31344-devices_own-2,31405-skipped_why-4,281
31405-skipped_why-4,31344-devices_own-2,281
31393-join_why-6,31386-covid_results-2,281
30156-Symptom_GI-1,31393-join_why-3,279
31344-devices_own-2,31344-devices_own-1,278
31344-devices_own-1,31344-devices_own-2,278
31393-join_why-1,30156-Symptom_GI-1,277
31396-join_hear-2,31344-devices_own-3,277
31405-skipped_why-4,31393-join_why-6,277
31344-devices_own-3,31396-join_hear-2,277
30156-Symptom_GI-1,31393-join_why-1,277
31393-join_why-6,31405-skipped_why-4,277
31405-skipped_why-4,31396-join_hear-2,276
31396-join_hear-2,31405-skipped_why-4,276
30082-Race-1,30153-Symptoms-1,275
31393-join_why-5,31346-past12mo_tech-1,274
30153-Symptoms-1,31393-join_why-5,274
bin_32136-vaccine_didyou,30103-conditionsrisks-20,274
31393-join_why-5,30153-Symptoms-1,274
31346-past12mo_tech-1,31393-join_why-5,274
30103-conditionsrisks-20,31405-skipped_why-4,273
31356-past12_recommended-1,bin_30107-alcohol_consume,273
bin_30107-alcohol_consume,31356-past12_recommended-1,273
30103-conditionsrisks-20,30156-Symptom_GI-1,273
31405-skipped_why-4,30103-conditionsrisks-20,273
31344-devices_own-3,31393-join_why-6,273
30156-Symptom_GI-1,30103-conditionsrisks-20,273
31393-join_why-6,31344-devices_own-3,273
31393-join_why-2,31393-join_why-3,273
bin_30170-Flu_shot,31386-covid_results-2,272
bin_30171-COVID_vaccine,31393-join_why-1,272
bin_30170-Flu_shot,31405-skipped_why-4,272
31344-devices_own-3,30103-conditionsrisks-20,272
30082-Race-1,30086-Gender-2,272
30103-conditionsrisks-20,31344-devices_own-3,272
bin_30170-Flu_shot,31344-devices_own-3,272
30082-Race-1,31393-join_why-2,272
30086-Gender-2,30082-Race-1,272
30082-Race-2,31386-covid_results-2,272
31356-past12_recommended-4,31386-covid_results-2,271
bin_32136-vaccine_didyou,31393-join_why-1,271
31393-join_why-1,31344-devices_own-1,271
31344-devices_own-1,31393-join_why-1,271
30160-Symptom_Inflamm-1,31393-join_why-6,269
31393-join_why-6,30160-Symptom_Inflamm-1,269
bin_age_40plus,bin_32136-vaccine_didyou,269
30154-Symptoms_Resp-1,31356-past12_recommended-1,268
30153-Symptoms-1,31393-join_why-3,268
31356-past12_recommended-1,30154-Symptoms_Resp-1,268
30166-Prev_exposure-1,31393-join_why-1,268
31393-join_why-1,30166-Prev_exposure-1,268
bin_age_40plus,30160-Symptom_Inflamm-1,267
30160-Symptom_Inflamm-1,31344-devices_own-2,267
31344-devices_own-2,30160-Symptom_Inflamm-1,267
31344-devices_own-3,31356-past12_recommended-4,266
31356-past12_recommended-4,31344-devices_own-3,266
30082-Race-2,30166-Prev_exposure-1,265
30156-Symptom_GI-1,31396-join_hear-2,264
31396-join_hear-2,30156-Symptom_GI-1,264
31393-join_why-1,30153-Symptoms-1,263
30153-Symptoms-1,31393-join_why-1,263
31356-past12_recommended-4,31405-skipped_why-4,263
30086-Gender-2,31393-join_why-5,263
31405-skipped_why-4,31356-past12_recommended-4,263
bin_age_40plus,31405-skipped_why-4,262
31393-join_why-2,31393-join_why-1,261
bin_age_40plus,31386-covid_results-2,261
31393-join_why-1,31393-join_why-2,261
30082-Race-2,30153-Symptoms-1,260
