Model,AUC,Accuracy,McFadden_R2,Percent_Variation_Explained
XGBoost,0.9482666666666667,0.9357142857142857,0.5647001993575704,56.470019935757044
Logistic,0.8768,0.9571428571428572,-0.17848928694354016,-17.848928694354015
LASSO,0.8682666666666667,0.95,-0.24062455541217753,-24.06245554121775
